Complaint_ID,Complaint_Text,Complaint_Type,Block,Floor,Room_No,Category,Duration,Students_Affected,Support_Count,Priority,Status,Complaint_Date
C0001,"Hi, theres cobwebs all over the staircase.",Public,B,First,15,Cleanliness,since this evening,23,2,Low,Resolved,01-05-2026
C0002,My washroom door doesnt lock properly because the pipe fitting behind it is loose and jammed.,Public,C,First,15,Washroom,since yesterday,1,0,Low,Pending,01-05-2026
C0003,The milk served at breakfast smelled slightly off this morning.,Public,C,Ground,4,Mess,since this morning,2,1,High,Pending,01-05-2026
C0004,"Mess timing keeps changing without any notice, we end up missing dinner.",Public,C,Second,23,Mess,since 30 minutes,53,20,Medium,In Progress,01-05-2026
C0005,"Theres cobwebs all over the staircase, doesnt look like anyone has cleaned it in ages, since Monday.",Public,B,First,14,Cleanliness,since Monday,37,17,Medium,Pending,01-05-2026
C0006,"id card checking at the main gate has become quite lax these days, someone pls check this",Private,A,First,18,Security,since the weekend,112,5,Low,Resolved,01-05-2026
C0007,"Since yesterday, bunk bed ladder in my room feels really loose, kind of unsafe to climb.",Public,A,Second,29,Furniture,since yesterday,1,0,High,In Progress,01-05-2026
C0008,theres been no drinking water in the cooler on Second floor since this morning.,Public,B,Second,30,Water Cooler,since this morning,39,20,High,In Progress,01-05-2026
C0009,"the washroom bin hasnt been cleaned in so long, it smells awful the moment u walk in.",Public,C,Second,29,Washroom,since noon,16,0,Medium,Pending,02-05-2026
C0010,Construction work right outside starts at 6am and its impossible to get any sleep (since this morning). Please look into this.,Public,A,First,11,Noise,since this morning,71,30,High,In Progress,02-05-2026
C0011,"mattress in my room is completely sunken in the middle, my back has been hurting for the past 3 days, need this fixed soon",Public,A,Second,28,Furniture,for the past 3 days,1,0,Medium,Resolved,02-05-2026
C0012,"Someone keeps banging on doors late at night as some kind of prank, for 4 days now.",Public,B,First,14,Noise,for 4 days now,24,14,High,Pending,02-05-2026
C0013,"Hello, study table drawer in Room 24 is stuck and just wont open, since Wednesday.",Public,B,Second,28,Furniture,since Wednesday,1,0,Low,Pending,03-05-2026
C0014,"Hi, backup power only seems to work for the corridor lights, rooms stay completely dark during cuts. Kindly resolve at the earliest.",Public,B,First,20,Electricity,for 4 days now,10,4,High,Pending,04-05-2026
C0015,"For the past 3 days, dropped my wallet somewhere between the library and Block A, if anyone finds it please let me know.",Private,A,Second,29,Security,for the past 3 days,1,0,Low,Pending,05-05-2026
C0016,"Lost my phone charger somewhere near Block D, would really appreciate any help finding it. Its been really inconvenient for all of us.",Private,B,Second,22,Security,for almost a week,1,0,Low,Pending,05-05-2026
C0017,Study table drawer in Room 4 is stuck and just wont open.,Public,C,First,14,Furniture,since last Friday,1,0,Low,Resolved,06-05-2026
C0018,Id card checking at the main gate has become quite lax these days. Please look into this.,Private,C,Ground,4,Security,for 3-4 days now,93,14,Low,Pending,06-05-2026
C0019,Shower head in the bathroom is broken.,Public,C,Second,24,Washroom,for 3-4 days now,1,0,Low,Resolved,06-05-2026
C0020,"The cupboard door in my room wont close properly, the hinge looks broken.",Public,A,First,20,Furniture,for over a week,2,0,Low,In Progress,06-05-2026
C0021,"Theres a moldy smell coming from the bathroom ceiling, it wont go away (since this morning). Please look into this.",Public,B,First,19,Washroom,since this morning,1,0,Medium,Resolved,06-05-2026
C0022,"Two of my friends fell sick after dinner yesterday, the food might have been stale.",Public,C,First,19,Mess,since yesterday,3,0,High,In Progress,07-05-2026
C0023,Garbage bins outside Block C havent been emptied in almost 2 weeks now. Please look into this at the earliest.,Public,C,Ground,6,Cleanliness,for 2 weeks now,33,9,High,In Progress,07-05-2026
C0024,the water dispenser stand in the common area is cracked and looks like it might collapse. plz look into this.,Public,C,First,14,Water Cooler,for 6 days,40,1,High,Pending,07-05-2026
C0025,"The switchboard in my room sparks a little whenever I plug in my charger, for 5 hours. Its been really inconvenient for all of us.",Public,A,First,20,Electricity,for 5 hours,2,0,Critical,Pending,07-05-2026
C0026,"Carrom board in the common room is missing four coins so we cant even play properly, since yesterday.",Public,B,Second,22,Furniture,since yesterday,22,8,Medium,Resolved,07-05-2026
C0027,"For 5 hours, the chair in my room is broken, one leg has completely come off.",Public,B,Ground,6,Furniture,for 5 hours,1,0,Low,In Progress,08-05-2026
C0028,"The switchboard in my room sparks a little whenever I plug in my charger, since Monday. Not happy about this at all.",Public,B,First,19,Electricity,since Monday,1,0,Critical,Resolved,08-05-2026
C0029,"My denim jacket went missing from the room, not really sure if it was stolen or just misplaced. Hope this gets resolved soon.",Private,A,Second,25,Security,since the weekend,1,0,Low,Pending,08-05-2026
C0030,"dropped my umbrella somewhere between the library and Block C, if anyone finds it please let me know for 6 days, need this fixed soon",Private,C,First,20,Security,for 6 days,2,0,Low,Pending,08-05-2026
C0031,Theres a moldy smell coming from the bathroom ceiling.,Public,A,Ground,3,Washroom,for 2 weeks now,1,0,Medium,Pending,08-05-2026
C0032,"dustbins on my floor are overflowing and nobody has collected the trash in days, someone pls check this",Public,A,Ground,2,Cleanliness,for a month now,38,9,Medium,In Progress,09-05-2026
C0033,"theres cobwebs all over the staircase, doesnt look like anyone has cleaned it in ages, someone pls check this",Public,A,First,11,Cleanliness,for 3-4 days now,16,0,Medium,In Progress,09-05-2026
C0034,"Hi, the security guard wasnt at the front desk after 11pm again yesterday.",Public,A,Second,29,Security,since yesterday,134,0,High,In Progress,10-05-2026
C0035,"Hello, the cupboard door in my room wont close properly, the hinge looks broken, for 3-4 days now.",Public,C,Second,25,Furniture,for 3-4 days now,1,0,Low,Pending,10-05-2026
C0036,"Since Tuesday, theres a long crack running across the ceiling of my room, getting a bit worried about it.",Public,C,Second,26,Furniture,since Tuesday,1,0,Medium,Pending,10-05-2026
C0037,"Respected Warden, my spectacles went missing from the room, not really sure if it was stolen or just misplaced, since last Friday. Kindly resolve at the earliest.",Private,A,First,17,Security,since last Friday,1,0,Low,Pending,11-05-2026
C0038,"Sir, cockroaches keep coming out of the drain in my washroom every night. Kindly resolve at the earliest!!",Public,A,Ground,5,Pest Control,for over a week,2,0,Low,Resolved,11-05-2026
C0039,"Since last night, my bed frame is creaking really badly and one leg feels loose.",Public,C,First,15,Furniture,since last night,1,0,Medium,Pending,11-05-2026
C0040,"Hello, since this evening, dustbins on my floor are overflowing and nobody has collected the trash in days.",Public,C,First,12,Cleanliness,since this evening,15,0,High,Resolved,11-05-2026
C0041,"the main entrance door of Block A doesnt close properly at night anymore since Wednesday, someone pls check this",Public,A,First,19,Door,since Wednesday,50,23,High,In Progress,12-05-2026
C0042,"Mosquitoes are unbearable in the evenings, we havent been given any nets or repellent (since Wednesday). Please look into this.",Public,C,Ground,1,Pest Control,since Wednesday,16,0,Medium,Pending,12-05-2026
C0043,Garbage bins outside Block B havent been emptied in almost a week now.,Public,B,Ground,6,Cleanliness,since Tuesday,19,10,Medium,Resolved,12-05-2026
C0044,"Dropped my earphones somewhere between the library and Block D, if anyone finds it please let me know (for over a week). Please look into this.",Private,C,Second,26,Security,for over a week,2,0,Low,Pending,12-05-2026
C0045,The socket near my study table is loose and the plug keeps falling out. Please look into this.,Public,A,First,19,Electricity,for more than 10 days,1,0,Medium,Pending,12-05-2026
C0046,"Sir, the lift interior light has been dim for days now, kind of unpleasant to use at night. Kindly resolve at the earliest.",Public,A,First,20,Lift,for 4 days now,34,1,Medium,Resolved,12-05-2026
C0047,theres cobwebs all over the staircase,Public,B,Ground,5,Cleanliness,since last week,20,7,Low,Resolved,13-05-2026
C0048,The washroom tap in my room is leaking non stop and wasting so much water.,Public,C,Ground,7,Leakage,for 4 days now,1,0,Medium,Resolved,13-05-2026
C0049,"Lift door doesnt close properly anymore, you basically have to slam it shut.",Public,B,Second,24,Lift,for 4 days now,22,0,High,Resolved,13-05-2026
C0050,"laundry area tap is leaking badly, theres always a puddle near the machines since this evening, pls fix asap",Public,A,Second,21,Laundry,since this evening,27,6,Low,Pending,13-05-2026
C0051,"there were small stones in the rice today, I almost broke a tooth. Please look into this.",Public,C,First,14,Mess,since this morning,3,1,High,Resolved,14-05-2026
C0052,"Notice board glass in the common area is cracked and pieces keep falling out, since this evening",Public,C,Ground,3,Cleanliness,since this evening,34,12,Low,Resolved,14-05-2026
C0053,"misplaced my calculator in the common area, it has my name written on it.",Private,A,Ground,3,Security,since Monday,1,0,Low,Pending,14-05-2026
C0054,"Study table drawer in Room 38 is stuck and just wont open, for more than 10 days.",Public,B,Second,21,Furniture,for more than 10 days,1,0,Low,Pending,14-05-2026
C0055,"main gate lock has been broken since last week, literally anyone can walk in. Thanks in advance",Private,C,Second,24,Security,since last week,97,23,High,In Progress,15-05-2026
C0056,Washing machine in the laundry room is making a horrible noise and not spinning properly.,Public,C,Second,28,Laundry,since Monday,34,11,Low,Resolved,15-05-2026
C0057,"Main gate lock has been broken since last week, literally anyone can walk in. Hope this gets resolved soon.",Private,C,Ground,6,Security,since last week,78,36,High,Rejected,15-05-2026
C0058,"benches outside Block C are broken, someone could genuinely get hurt sitting on them.",Public,C,Ground,8,Furniture,for 2 weeks now,11,1,Low,Resolved,16-05-2026
