Complaint_ID,Complaint_Text,Complaint_Type,Block,Floor,Room_No,Category,Duration_Standardized,Support_Count,Priority,Status,Complaint_Date
C0001,Theres cobwebs all over the staircase.,Public,B,First,15,Cleanliness,3 hours,2,Low,Resolved,01-05-2026
C0002,My washroom door doesnt lock properly because the pipe fitting behind it is loose and jammed.,Public,C,First,15,Washroom,1 day,0,Low,Pending,01-05-2026
C0003,The milk served at breakfast smelled slightly off this morning.,Public,C,Ground,4,Mess,8 hours,1,High,Pending,01-05-2026
C0004,"Mess timing keeps changing without any notice, we end up missing dinner.",Public,C,Second,23,Mess,1 hour,20,Medium,In Progress,01-05-2026
C0005,"Theres cobwebs all over the staircase, doesnt look like anyone has cleaned it in ages, since Monday.",Public,B,First,14,Cleanliness,4 days,17,Medium,Pending,01-05-2026
C0007,"Since yesterday, bunk bed ladder in my room feels really loose, kind of unsafe to climb.",Public,A,Second,29,Furniture,1 day,0,High,In Progress,01-05-2026
C0008,Theres been no drinking water in the cooler on Second floor since this morning.,Public,B,Second,30,Water Cooler,8 hours,20,High,In Progress,01-05-2026
C0012,"Someone keeps banging on doors late at night as some kind of prank, for 4 days now.",Public,B,First,14,Noise,4 days,14,High,Pending,02-05-2026
C0013,"Study table drawer in Room 24 is stuck and just wont open, since Wednesday.",Public,B,Second,28,Furniture,2 days,0,Low,Pending,03-05-2026
C0014,"Backup power only seems to work for the corridor lights, rooms stay completely dark during cuts.",Public,B,First,20,Electricity,4 days,4,High,Pending,04-05-2026
C0015,"For the past 3 days, dropped my wallet somewhere between the library and Block A, if anyone finds it please let me know.",Private,A,Second,29,Security,3 days,0,Low,Pending,05-05-2026
C0016,"Lost my phone charger somewhere near Block B, would really appreciate any help finding it.",Private,B,Second,22,Security,6 days,0,Low,Pending,05-05-2026
C0017,"Cant open the drawer of my study table anymore, it just wont budge.",Public,C,First,14,Furniture,1 week,0,Low,Resolved,06-05-2026
C0018,Id card checking at the main gate has become quite lax these days.,Private,C,Ground,4,Security,4 days,0,Low,Pending,06-05-2026
C0019,Shower head in the bathroom is broken.,Public,C,Second,24,Washroom,4 days,0,Low,Resolved,06-05-2026
C0020,"The cupboard door in my room wont close properly, the hinge looks broken.",Public,A,First,20,Furniture,8 days,0,Low,In Progress,06-05-2026
C0022,"Two of my friends fell sick after dinner yesterday, the food might have been stale.",Public,C,First,19,Mess,1 day,0,High,In Progress,07-05-2026
C0023,Garbage bins outside Block C havent been emptied in almost 2 weeks now.,Public,C,Ground,6,Cleanliness,2 weeks,9,High,In Progress,07-05-2026
C0024,The water dispenser stand in the common area is cracked and looks like it might collapse.,Public,C,First,14,Water Cooler,6 days,1,High,Pending,07-05-2026
C0026,"Carrom board in the common room is missing four coins so we cant even play properly, since yesterday.",Public,B,Second,22,Furniture,1 day,8,Medium,Resolved,07-05-2026
C0027,"For 5 hours, the chair in my room is broken, one leg has completely come off.",Public,B,Ground,6,Furniture,5 hours,0,Low,In Progress,08-05-2026
C0029,"My denim jacket went missing from the room, not really sure if it was stolen or just misplaced.",Private,A,Second,25,Security,2 days,0,Low,Pending,08-05-2026
C0030,"Dropped my umbrella somewhere between the library and Block C, if anyone finds it please let me know for 6 days.",Private,C,First,20,Security,6 days,0,Low,Pending,08-05-2026
C0031,Theres a moldy smell coming from the bathroom ceiling.,Public,A,Ground,3,Washroom,2 weeks,0,Medium,Pending,08-05-2026
C0034,The security guard wasnt at the front desk after 11pm again yesterday.,Public,A,Second,29,Security,1 day,0,High,In Progress,10-05-2026
C0035,"Hinge on my rooms cupboard door looks broken, it wont shut properly anymore.",Public,C,Second,25,Furniture,4 days,0,Low,Pending,10-05-2026
C0036,"Since Tuesday, theres a long crack running across the ceiling of my room, getting a bit worried about it.",Public,C,Second,26,Furniture,3 days,0,Medium,Pending,10-05-2026
C0037,"My spectacles went missing from the room, not really sure if it was stolen or just misplaced, since last Friday.",Private,A,First,17,Security,1 week,0,Low,Pending,11-05-2026
C0039,"Since last night, my bed frame is creaking really badly and one leg feels loose.",Public,C,First,15,Furniture,1 day,0,Medium,Pending,11-05-2026
C0040,"Since this evening, dustbins on my floor are overflowing and nobody has collected the trash in days.",Public,C,First,12,Cleanliness,3 hours,0,High,Resolved,11-05-2026
C0041,"The main entrance door of Block A doesnt close properly at night anymore since Wednesday, someone pls check this.",Public,A,First,19,Door,2 days,23,High,In Progress,12-05-2026
C0044,"Dropped my earphones somewhere between the library and Block C, if anyone finds it please let me know (for over a week).",Private,C,Second,26,Security,8 days,0,Low,Pending,12-05-2026
C0045,The socket near my study table is loose and the plug keeps falling out.,Public,A,First,19,Electricity,12 days,0,Medium,Pending,12-05-2026
C0046,"The lift interior light has been dim for days now, kind of unpleasant to use at night.",Public,A,First,20,Lift,4 days,1,Medium,Resolved,12-05-2026
C0047,"The staircase corners have thick cobwebs building up, hasnt been cleaned in a while.",Public,B,Ground,5,Cleanliness,1 week,7,Low,Resolved,13-05-2026
C0048,The washroom tap in my room is leaking non stop and wasting so much water.,Public,C,Ground,7,Leakage,4 days,0,Medium,Resolved,13-05-2026
C0049,"Lift door doesnt close properly anymore, you basically have to slam it shut.",Public,B,Second,24,Lift,4 days,0,High,Resolved,13-05-2026
C0053,"Misplaced my calculator in the common area, it has my name written on it.",Private,A,Ground,3,Security,4 days,0,Low,Pending,14-05-2026
C0056,Washing machine in the laundry room is making a horrible noise and not spinning properly.,Public,C,Second,28,Laundry,4 days,11,Low,Resolved,15-05-2026
C0057,"Main gate lock has been broken since last week, literally anyone can walk in.",Private,C,Ground,6,Security,1 week,0,High,Rejected,15-05-2026
C0058,"Benches outside Block C are broken, someone could genuinely get hurt sitting on them.",Public,C,Ground,8,Furniture,2 weeks,1,Low,Resolved,16-05-2026
C0061,"Flush in the common washroom on First floor isnt working properly at all, for the past 2 days.",Public,A,First,20,Washroom,2 days,17,Medium,Resolved,17-05-2026
C0067,"Lift in our block has been out of service for days, we have to carry luggage up 5 floors.",Public,A,Ground,9,Lift,4 days,16,High,Resolved,17-05-2026
C0068,"The drain right outside Block C is overflowing and it smells terrible, for almost a week.",Public,C,Second,26,Drainage,6 days,2,High,Resolved,18-05-2026
C0069,"For 5 hours, sink drain in my room is completely clogged, water just doesnt go down anymore.",Public,B,Second,30,Drainage,5 hours,0,Medium,Resolved,18-05-2026
C0070,"Water pressure is extremely low every morning, cant even fill a bucket properly.",Public,A,Second,22,Water Supply,8 days,30,High,In Progress,18-05-2026
C0071,"Corridor floor on First floor is covered in dust and hasnt been swept in a while, since last Friday.",Public,A,First,20,Cleanliness,1 week,4,Low,Rejected,18-05-2026
C0072,The lift in Block A has been making a horrible grinding noise and it feels unsafe.,Public,A,Second,29,Lift,5 hours,1,High,In Progress,18-05-2026
C0073,"Corridor lights on Ground floor have been flickering on and off for no reason, since the weekend.",Public,B,Ground,1,Electricity,2 days,3,High,Resolved,18-05-2026
C0074,Reading room chairs on Second floor are all wobbly and honestly quite uncomfortable to sit on.,Public,B,Second,25,Furniture,6 days,24,Medium,Resolved,18-05-2026
C0075,"My earphones went missing from the room, not really sure if it was stolen or just misplaced.",Private,B,First,11,Security,2 days,0,Low,Resolved,19-05-2026
C0076,"My wallet went missing from the room, not really sure if it was stolen or just misplaced, for the past 2 days.",Private,C,Ground,6,Security,2 days,0,Low,Resolved,20-05-2026
C0077,"Theres a rat running around my room every night, its really freaking me out.",Public,A,Second,25,Pest Control,8 days,0,High,Pending,20-05-2026
C0078,Notice board glass in the common area is cracked and pieces keep falling out.,Public,C,Second,24,Cleanliness,3 days,13,Medium,Resolved,20-05-2026
C0079,"Mess food quality has gone really bad lately, everything tastes bland and comes out cold.",Public,A,Ground,6,Mess,3 days,40,High,In Progress,20-05-2026
C0080,"Geyser pipe connection is leaking hot water near the switch, feels pretty dangerous.",Public,B,Ground,10,Leakage,1 week,0,High,Resolved,20-05-2026
C0082,"Water coming out of the tap looks yellowish and smells kind of bad, for almost a week.",Public,B,Second,23,Water Supply,6 days,3,High,Pending,21-05-2026
C0085,Cctv camera near the main gate hasnt been working for days now.,Public,A,Second,22,Security,4 days,5,High,In Progress,22-05-2026
C0086,"Sofa in the common room has a broken leg and keeps tilting to one side, for a month now.",Public,B,Ground,10,Furniture,4 weeks,9,Low,Pending,22-05-2026
C0087,"Water tank supplying Block A seems empty, taps have been running dry since morning.",Public,A,Second,29,Water Supply,8 hours,0,High,Pending,22-05-2026
C0088,"Since this morning, study table in the common area on First floor has a broken drawer.",Public,C,First,11,Furniture,8 hours,0,Low,Pending,22-05-2026
C0091,Black mold patches have started spreading across the bathroom wall in my room.,Public,B,Second,22,Washroom,3 days,0,High,In Progress,23-05-2026
C0092,"Dust has been piling up on the Ground floor corridor, doesnt look like its been swept recently.",Public,B,Ground,5,Cleanliness,1 day,16,Medium,Resolved,23-05-2026
C0093,"During power cuts only the corridor lights get backup, our rooms stay pitch dark.",Public,C,Second,21,Electricity,4 days,0,Medium,Resolved,23-05-2026
C0095,"There were small stones in the rice today, I almost broke a tooth.",Public,A,Ground,3,Mess,8 hours,0,High,Pending,25-05-2026
C0097,"Toilet seat in the washroom on First floor is broken and wobbly, for 2 weeks now.",Public,A,First,20,Washroom,2 weeks,4,Medium,Pending,25-05-2026
C0098,Dropped my laptop charger somewhere between the library and Block C.,Private,C,Second,30,Security,8 hours,0,Low,In Progress,26-05-2026
C0100,"Lately the mess food has tasted pretty bad, everything is bland and served cold.",Public,A,Ground,9,Mess,1 day,11,High,Resolved,26-05-2026
C0101,Water keeps dripping from the washroom tap in my room and it wont stop.,Public,B,Ground,7,Leakage,6 days,0,Medium,Pending,26-05-2026
C0102,"Found small stones mixed into todays rice, could have chipped a tooth.",Public,A,Ground,6,Mess,8 hours,1,High,In Progress,27-05-2026
C0103,Left my water bottle in the mess hall yesterday and cant find it anywhere now.,Private,A,First,12,Security,1 day,0,Low,Resolved,27-05-2026
C0104,The generator right outside makes it impossible to study in the evenings (since this evening).,Public,A,Second,30,Noise,3 hours,3,Medium,Resolved,27-05-2026
C0105,"Door lock of the common entrance isnt latching properly, it just swings open, for almost a week.",Private,B,Second,26,Security,6 days,0,High,Resolved,27-05-2026
C0110,The visitors register at the gate hasnt been updated properly in weeks.,Private,C,Ground,9,Security,2 weeks,0,Medium,In Progress,28-05-2026
C0112,Misplaced my ID card in the common area.,Private,C,Ground,1,Security,12 days,0,Low,Rejected,29-05-2026
C0113,"The common entrance door lock keeps swinging open, doesnt latch properly at all.",Private,A,Ground,1,Security,1 day,0,High,In Progress,29-05-2026
C0114,Cockroaches keep coming out of the drain in my washroom every night.,Public,B,First,16,Pest Control,8 days,0,Medium,Pending,29-05-2026
C0115,"The open drain near the entrance is breeding mosquitoes, its a health hazard honestly (for 4 days now).",Public,A,First,20,Drainage,4 days,0,High,Resolved,30-05-2026
C0116,"Basin pipe under the sink is loose and water keeps leaking onto the floor, for over a week.",Public,C,First,12,Leakage,8 days,0,Medium,Resolved,30-05-2026
C0117,There is a bad power fluctuation issue thats damaging chargers and laptops on Second floor.,Public,A,Second,25,Electricity,2 weeks,21,High,Pending,30-05-2026
C0119,"Internet speed on Second floor becomes unusably slow after around 8pm, for 6 days.",Public,B,Second,26,WiFi,6 days,7,Medium,In Progress,30-05-2026
C0120,"Notice board glass in the common area is cracked and pieces keep falling out, someone pls check this.",Public,B,Ground,4,Cleanliness,1 hour,0,Low,Resolved,30-05-2026
C0121,"Theres barely any wifi signal that reaches the rooms at the end of the corridor, for 6 days.",Public,C,Second,25,WiFi,6 days,3,Low,Resolved,30-05-2026
C0122,Chargers and laptops on Ground floor keep getting damaged because of constant power fluctuations.,Public,A,Ground,6,Electricity,4 weeks,0,High,Pending,31-05-2026
C0123,"The signboard outside the hostel gate is tilted and needs to be straightened, since last week.",Public,B,Second,21,Furniture,1 week,16,Medium,Pending,31-05-2026
C0126,"Dryer in the laundry area has been out of order for days now, clothes just wont dry.",Public,A,First,16,Laundry,4 days,5,Low,Pending,31-05-2026
C0127,"Its the same boring menu every single day, could we at least get some variety.",Public,C,Second,26,Mess,8 days,23,Low,Resolved,31-05-2026
C0128,"Since Tuesday, water coming out of the tap looks yellowish and smells kind of bad.",Public,C,First,15,Water Supply,3 days,3,High,In Progress,01-06-2026
C0130,"Trash hasnt been picked up on our floor in days, bins are overflowing.",Public,C,First,12,Cleanliness,5 hours,3,Medium,Resolved,01-06-2026
C0131,"Taps in Block C have been running dry since morning, looks like the tank feeding it is empty.",Public,C,Second,25,Water Supply,8 hours,0,High,In Progress,03-06-2026
C0132,"Common washroom on First floor hasnt been cleaned in days, it genuinely smells really bad, since 30 minutes.",Public,C,First,13,Cleanliness,1 hour,14,Medium,In Progress,03-06-2026
C0133,A lizard fell from the ceiling right onto my study table yesterday.,Public,C,First,19,Pest Control,1 day,0,Low,Pending,03-06-2026
C0134,"My clothes went missing from the washing machine, this is actually the second time this month.",Public,B,First,11,Laundry,4 weeks,0,Low,Pending,03-06-2026
C0135,Power backup didnt kick in at all during last nights outage.,Public,A,Second,22,Electricity,1 day,35,High,Rejected,03-06-2026
C0136,The gate signboard outside is leaning to one side and needs fixing.,Public,A,Second,29,Furniture,3 days,0,Medium,In Progress,03-06-2026
C0138,"Cant find my denim jacket anywhere in the room, might have been taken or just misplaced.",Private,A,Ground,4,Security,2 days,0,Low,Pending,04-06-2026
C0140,"Lost my wrist watch somewhere near Block C, would really appreciate any help finding it.",Private,C,First,16,Security,3 days,0,Low,In Progress,04-06-2026
C0141,The generator makes so much noise every single time theres a power cut.,Public,C,First,18,Electricity,8 days,42,Low,Resolved,04-06-2026
C0142,"Shower head in the bathroom is broken, water just sprays sideways everywhere.",Public,C,Second,28,Washroom,3 days,0,Low,Resolved,05-06-2026
C0143,One leg of my room chair has completely snapped off.,Public,B,First,16,Furniture,2 days,0,Low,In Progress,05-06-2026
C0144,"The electrical panel near the stairwell keeps making a buzzing sound, sounds unsafe.",Public,B,Ground,10,Electricity,4 days,9,High,In Progress,05-06-2026
C0145,"Dropped my hoodie somewhere between the library and Block C, if anyone finds it please let me know.",Private,C,Second,30,Security,5 hours,0,Low,In Progress,06-06-2026
C0147,"Toilet seat in the washroom on Second floor is broken and wobbly, since noon.",Public,B,Second,30,Washroom,6 hours,0,Low,Pending,06-06-2026
C0149,"Shower head in the bathroom is broken, water just sprays sideways everywhere, for more than 10 days.",Public,A,Second,29,Washroom,12 days,0,Low,In Progress,06-06-2026
C0150,"Dropped my ID card somewhere between the library and Block B, if anyone finds it please let me know.",Private,B,Second,25,Security,1 week,0,Low,Rejected,06-06-2026
C0152,"Found bed bugs in my mattress, honestly cant sleep properly anymore, since last week.",Public,B,Ground,3,Pest Control,1 week,0,High,In Progress,06-06-2026
C0155,The washing machine ate my 20 rupees and didnt even start the cycle.,Public,C,First,17,Laundry,8 hours,0,Medium,Pending,07-06-2026
C0156,"Four coins are missing from the carrom board in the common room, cant play a full game.",Public,A,Second,27,Furniture,1 week,9,Low,In Progress,07-06-2026
C0158,Machine took my 20 rupees but never actually started the wash cycle.,Public,B,Second,22,Laundry,2 days,0,Low,Resolved,08-06-2026
C0163,"Wifi password got changed without telling anyone, nobody on the floor can connect now, since yesterday.",Public,A,Ground,2,WiFi,1 day,14,Low,Resolved,10-06-2026
C0164,Some guys on First floor play really loud music till like 2am every single night.,Public,B,First,11,Noise,8 days,6,High,Resolved,10-06-2026
C0165,"The benches outside Block C are damaged and wobbly, someone could easily get hurt using them.",Public,C,First,13,Furniture,3 days,2,High,In Progress,10-06-2026
C0166,Washroom floor on Second floor stays waterlogged because the drain is clogged.,Public,B,Second,28,Drainage,1 hour,0,Medium,In Progress,11-06-2026
C0167,"Found a hair in my food again today, this is like the third time this month.",Public,B,First,16,Mess,4 weeks,13,High,In Progress,11-06-2026
C0170,"Lost my bunch of keys somewhere near Block B, would really appreciate any help finding it.",Private,B,First,14,Security,4 days,0,Low,Resolved,11-06-2026
C0172,"My notebook went missing from the room, not really sure if it was stolen or just misplaced, since Tuesday.",Private,A,First,12,Security,3 days,0,Low,Pending,11-06-2026
C0174,"AC remote isnt working properly and the AC wont switch off even at night, since Wednesday.",Public,C,Ground,8,Electricity,2 days,0,Medium,Resolved,12-06-2026
C0175,Misplaced my notebook in the common area.,Private,B,First,14,Security,6 days,0,Low,Rejected,12-06-2026
C0176,Mosquitoes are unbearable in the evenings.,Public,C,Ground,2,Pest Control,4 weeks,0,High,Pending,12-06-2026
C0179,"Dryer in the laundry area has been out of order fr days now, clothes just wont dry.",Public,B,First,17,Laundry,4 days,8,Low,Resolved,13-06-2026
C0183,"Construction work right outside starts at 6am and its impossible to get any sleep, since last Friday.",Public,C,First,17,Noise,1 week,49,High,In Progress,14-06-2026
C0184,Exhaust fan in the washroom doesnt work so it never really airs out properly.,Public,C,First,12,Washroom,1 week,0,Low,Resolved,14-06-2026
C0185,"Dropped my water bottle somewhere between the library and Block A, if anyone finds it pls let me know, for 4 days now.",Private,A,Second,26,Security,4 days,0,Low,Pending,15-06-2026
C0188,"Rainwater keeps entering the First floor corridor because of blocked drainage, for the past 2 days.",Public,C,First,11,Drainage,2 days,12,High,In Progress,15-06-2026
C0193,"Since last Friday, toilet seat in the washroom on Second floor is broken and wobbly.",Public,A,Second,25,Washroom,1 week,6,Low,Rejected,16-06-2026
C0194,Left my denim jacket in the mess hall yesterday and cant find it anywhere now.,Private,A,Ground,2,Security,1 day,0,Low,Pending,16-06-2026
C0195,"There were tiny stones in the rice served today, quite dangerous to bite into.",Public,C,Second,29,Mess,8 hours,0,High,In Progress,16-06-2026
C0197,"Misplaced my umbrella in the common area, it has my name written on it, kindly fix soon.",Private,B,Ground,10,Security,5 hours,0,Low,In Progress,17-06-2026
C0199,"Inverter in Block B isnt charging properly, backup barely lasts 10 minutes now (for 2 weeks now).",Public,B,First,14,Electricity,2 weeks,7,Medium,Pending,17-06-2026
C0200,"Theres a moldy smell coming from the bathroom ceiling, it wont go away, since 2 hours.",Public,B,Second,25,Washroom,2 hours,0,Low,Resolved,17-06-2026
C0202,6am construction noise outside is making it impossible to sleep properly.,Public,C,First,14,Noise,2 days,27,High,Rejected,18-06-2026
C0204,"For more than 10 days, garbage bins outside Block A havent been emptied in almost a week now.",Public,A,First,12,Cleanliness,12 days,11,Medium,Resolved,19-06-2026
C0206,"Curtain rod in my room fell down again, this is the third time this month.",Public,A,Ground,10,Furniture,4 weeks,0,Low,Rejected,20-06-2026
C0207,False ceiling panel near the stairwell fell down suddenly yesterday.,Public,A,Ground,2,Furniture,1 day,0,High,Resolved,20-06-2026
C0208,Hot water in the geyser runs out within five minutes every single morning.,Public,C,First,20,Water Supply,8 days,0,Medium,Resolved,20-06-2026
C0211,"Every night cockroaches crawl out from the washroom drain, its been going on for a while.",Public,C,First,18,Pest Control,8 days,0,Medium,In Progress,21-06-2026
C0215,"Tube light near the staircase in Block A is completely dead, its pitch dark there at night.",Public,A,Ground,4,Electricity,5 hours,8,High,Resolved,22-06-2026
C0220,"The staircase tube light in Block C has stopped working, that area is completely dark at night now.",Public,C,Second,30,Electricity,2 days,12,Medium,Pending,23-06-2026
C0221,"Laundry room on Second floor was locked the entire day, couldnt wash my clothes before my exam.",Public,A,Second,22,Laundry,4 days,7,Medium,Resolved,23-06-2026
C0225,Washroom drain in our room keeps letting cockroaches in at night.,Public,A,Second,23,Pest Control,8 days,0,Medium,Resolved,24-06-2026
C0227,"Guards at the main gate barely check ID cards anymore, anyone could walk in.",Private,C,Ground,8,Security,2 days,0,Low,Resolved,25-06-2026
C0228,CCTV near the main gate has been down for several days now.,Public,B,Second,30,Security,4 days,34,High,Pending,25-06-2026
C0232,"For a month now, wifi password got changed without telling anyone, nobody on the floor can connect now.",Public,C,Ground,2,WiFi,4 weeks,3,Low,Pending,26-06-2026
C0233,"Theres a leak from the geyser pipe near the switch, feels risky having water that close to it.",Public,A,First,13,Leakage,3 days,0,Low,Resolved,26-06-2026
C0238,Internet on Ground floor turns painfully slow once it hits evening.,Public,C,Ground,6,WiFi,2 days,10,Medium,In Progress,27-06-2026
C0239,The ladder attached to my bunk bed feels wobbly and unsafe every time I use it.,Public,B,Second,24,Furniture,6 hours,0,High,Rejected,27-06-2026
C0240,"Wifi keeps disconnecting every few minutes, cant even attend my online classes properly (for 4 days now).",Public,B,Ground,2,WiFi,4 days,3,Medium,Pending,27-06-2026
C0244,"The mosquito net frame on my window is broken and mosquitoes keep getting in, for more than 10 days.",Public,C,First,20,Window,12 days,0,High,Resolved,28-06-2026
C0245,"Wall paint near my bed has started peeling off pretty badly, for a month now.",Public,C,First,16,Furniture,4 weeks,0,Low,Resolved,28-06-2026
C0247,"Garbage bins outside Block B havent been emptied in almost a week now, someone pls check this.",Public,B,Ground,2,Cleanliness,1 day,2,Medium,Pending,28-06-2026
C0248,Mess food quality has gone really bad lately.,Public,A,Second,30,Mess,1 day,46,High,Resolved,28-06-2026
C0249,No one was at the security desk again past 11pm last night.,Public,A,Ground,2,Security,1 day,8,High,Resolved,29-06-2026
C0254,The garbage bins on my floor are overflowing and its starting to smell.,Public,A,Second,22,Cleanliness,2 days,9,Medium,Resolved,29-06-2026
C0255,"Water wont drain from my room sink at all, its completely blocked.",Public,C,First,20,Drainage,3 days,0,Low,In Progress,29-06-2026
C0257,"The washroom bin hasnt been cleaned in so long, it smells awful the moment you walk in, since Monday.",Public,B,First,13,Washroom,4 days,10,Medium,In Progress,30-06-2026
C0258,Ants have completely taken over the shelf where I keep my snacks (for almost a week).,Public,C,First,15,Pest Control,6 days,0,Low,Resolved,30-06-2026
C0259,Tube light in my room keeps flickering non stop and its giving me a headache.,Public,B,First,13,Electricity,12 days,0,Low,Resolved,30-06-2026
C0260,"Our block lift has been down for several days, its a real struggle carrying bags up the stairs.",Public,C,First,19,Lift,4 days,0,Medium,In Progress,30-06-2026
C0263,"Inverter backup in Block A barely lasts 10 minutes now, charging seems to have stopped working properly.",Public,A,First,18,Electricity,8 days,2,Medium,In Progress,01-07-2026
C0264,Roof of the corridor on First floor has started leaking whenever it rains.,Public,C,First,12,Furniture,3 days,19,Medium,Resolved,01-07-2026
C0265,"Misplaced my wrist watch somewhere around Block B, would appreciate help locating it.",Private,B,Second,27,Security,2 days,0,Low,Resolved,01-07-2026
C0268,Fan in Room 4 makes a loud grinding noise and wobbles when running on high speed.,Public,A,Second,27,Electricity,2 hours,0,Medium,Pending,02-07-2026
C0270,"Common washroom on Ground floor hasnt been cleaned in days, it genuinely smells really bad for over a week.",Public,A,Ground,6,Cleanliness,8 days,4,Medium,Pending,02-07-2026
C0271,"Mattress in my room is completely sunken in the middle, my back has been hurting (for the past 3 days).",Public,A,Second,30,Furniture,3 days,0,Medium,Pending,02-07-2026
C0274,"Dropped my spectacles somewhere between the library and Block A, if anyone finds it please let me know.",Private,A,First,11,Security,1 hour,0,Low,In Progress,03-07-2026
C0275,"Lost my spectacles somewhere near Block B, would really appreciate any help finding it (for over a week).",Private,B,First,18,Security,8 days,0,Low,Resolved,04-07-2026
C0277,"The door of my room isnt closing all the way, theres a gap at the bottom.",Public,C,First,14,Furniture,2 days,0,Low,Resolved,04-07-2026
C0283,The staircase railing near Ground floor is loose and wobbles when you hold it.,Public,A,Ground,6,Furniture,3 days,1,High,Pending,05-07-2026
C0291,A false ceiling panel came crashing down near the stairwell yesterday.,Public,C,Second,23,Furniture,1 day,4,High,Pending,08-07-2026
C0295,"Climbing the bunk bed ladder in my room feels risky, its been loose for a while.",Public,A,Second,23,Furniture,4 weeks,0,High,Resolved,10-07-2026
C0296,Common washroom on Second floor hasnt been cleaned in days.,Public,B,Second,21,Cleanliness,5 hours,10,Medium,In Progress,10-07-2026
C0299,"Found bed bugs in my mattress, honestly cant sleep properly anymore, for 4 days now.",Public,B,Second,26,Pest Control,4 days,0,High,Resolved,10-07-2026
C0300,"Mornings are the worst for water pressure, barely enough to fill a bucket.",Public,C,First,14,Water Supply,8 days,39,High,In Progress,10-07-2026
C0301,Ceiling fan regulator is broken so the fan only runs on full speed.,Public,C,Second,25,Electricity,6 days,0,Low,Rejected,10-07-2026
C0302,"My room sink wont drain at all, water just pools up and stays there.",Public,A,Ground,3,Drainage,5 hours,0,Low,Resolved,10-07-2026
C0305,"My umbrella went missing from the room, not really sure if it was stolen or just misplaced, since last week.",Private,C,Ground,1,Security,1 week,0,Low,Resolved,11-07-2026
